
  0% | 0/20 | ?it/s
T50/51, E84/160 => nca: 0.036, flat: 0.254, pod: 3.41, loss: 3.699: :   0% | 0/20 | ?it/s
T50/51, E84/160 => nca: 0.036, flat: 0.254, pod: 3.41, loss: 3.699: :   5% | 1/20 |  5.50it/s
T50/51, E84/160 => nca: 0.047, flat: 0.253, pod: 3.552, loss: 3.852: :   5% | 1/20 |  5.50it/s
T50/51, E84/160 => nca: 0.047, flat: 0.253, pod: 3.552, loss: 3.852: :  10% | 2/20 |  5.43it/s
T50/51, E84/160 => nca: 0.048, flat: 0.238, pod: 3.474, loss: 3.759: :  10% | 2/20 |  5.43it/s
T50/51, E84/160 => nca: 0.048, flat: 0.238, pod: 3.474, loss: 3.759: :  15% | 3/20 |  5.38it/s
T50/51, E84/160 => nca: 0.043, flat: 0.234, pod: 3.461, loss: 3.738: :  15% | 3/20 |  5.38it/s
T50/51, E84/160 => nca: 0.043, flat: 0.234, pod: 3.461, loss: 3.738: :  20% | 4/20 |  5.39it/s
T50/51, E84/160 => nca: 0.046, flat: 0.24, pod: 3.409, loss: 3.695: :  20% | 4/20 |  5.39it/s 
T50/51, E84/160 => nca: 0.046, flat: 0.24, pod: 3.409, loss: 3.695: :  25% | 5/20 |  5.52it/s
T50/51, E84/160 => nca: 0.045, flat: 0.241, pod: 3.428, loss: 3.714: :  25% | 5/20 |  5.52it/s
T50/51, E84/160 => nca: 0.045, flat: 0.241, pod: 3.428, loss: 3.714: :  30% | 6/20 |  5.61it/s
T50/51, E84/160 => nca: 0.048, flat: 0.239, pod: 3.384, loss: 3.671: :  30% | 6/20 |  5.61it/s
T50/51, E84/160 => nca: 0.048, flat: 0.239, pod: 3.384, loss: 3.671: :  35% | 7/20 |  5.68it/s
T50/51, E84/160 => nca: 0.047, flat: 0.236, pod: 3.371, loss: 3.654: :  35% | 7/20 |  5.68it/s
T50/51, E84/160 => nca: 0.047, flat: 0.236, pod: 3.371, loss: 3.654: :  40% | 8/20 |  5.74it/s
T50/51, E84/160 => nca: 0.048, flat: 0.234, pod: 3.368, loss: 3.651: :  40% | 8/20 |  5.74it/s
T50/51, E84/160 => nca: 0.048, flat: 0.234, pod: 3.368, loss: 3.651: :  45% | 9/20 |  5.78it/s
T50/51, E84/160 => nca: 0.05, flat: 0.236, pod: 3.402, loss: 3.687: :  45% | 9/20 |  5.78it/s 
T50/51, E84/160 => nca: 0.05, flat: 0.236, pod: 3.402, loss: 3.687: :  50% | 10/20 |  5.81it/s
T50/51, E84/160 => nca: 0.052, flat: 0.234, pod: 3.376, loss: 3.661: :  50% | 10/20 |  5.81it/s
T50/51, E84/160 => nca: 0.052, flat: 0.234, pod: 3.376, loss: 3.661: :  55% | 11/20 |  5.83it/s
T50/51, E84/160 => nca: 0.058, flat: 0.235, pod: 3.371, loss: 3.663: :  55% | 11/20 |  5.83it/s
T50/51, E84/160 => nca: 0.058, flat: 0.235, pod: 3.371, loss: 3.663: :  60% | 12/20 |  5.76it/s
T50/51, E84/160 => nca: 0.058, flat: 0.232, pod: 3.351, loss: 3.641: :  60% | 12/20 |  5.76it/s
T50/51, E84/160 => nca: 0.058, flat: 0.232, pod: 3.351, loss: 3.641: :  65% | 13/20 |  5.51it/s
T50/51, E84/160 => nca: 0.058, flat: 0.232, pod: 3.353, loss: 3.644: :  65% | 13/20 |  5.51it/s
T50/51, E84/160 => nca: 0.058, flat: 0.232, pod: 3.353, loss: 3.644: :  70% | 14/20 |  5.43it/s
T50/51, E84/160 => nca: 0.057, flat: 0.229, pod: 3.34, loss: 3.626: :  70% | 14/20 |  5.43it/s 
T50/51, E84/160 => nca: 0.057, flat: 0.229, pod: 3.34, loss: 3.626: :  75% | 15/20 |  5.34it/s
T50/51, E84/160 => nca: 0.056, flat: 0.227, pod: 3.324, loss: 3.608: :  75% | 15/20 |  5.34it/s
T50/51, E84/160 => nca: 0.056, flat: 0.227, pod: 3.324, loss: 3.608: :  80% | 16/20 |  5.28it/s
T50/51, E84/160 => nca: 0.056, flat: 0.228, pod: 3.327, loss: 3.611: :  80% | 16/20 |  5.28it/s
T50/51, E84/160 => nca: 0.056, flat: 0.228, pod: 3.327, loss: 3.611: :  85% | 17/20 |  5.23it/s
T50/51, E84/160 => nca: 0.056, flat: 0.227, pod: 3.323, loss: 3.606: :  85% | 17/20 |  5.23it/s
